,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,119.526388888889
1,2021-01-02,07:00:00,07:00,170.642261904762
2,2021-01-03,07:00:00,07:00,169.697916666667
3,2021-01-04,07:00:00,07:00,175.888392857143
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,24.5333333333333
8,2021-01-09,07:00:00,07:00,59.1833333333333
9,2021-01-10,07:00:00,07:00,82.885
10,2021-01-11,07:00:00,07:00,
11,2021-01-12,07:00:00,07:00,
12,2021-01-13,07:00:00,07:00,
13,2021-01-14,07:00:00,07:00,160.233035714286
14,2021-01-15,07:00:00,07:00,179.830357142857
15,2021-01-16,07:00:00,07:00,191.827678571429
16,2021-01-17,07:00:00,07:00,139.970833333333
17,2021-01-18,07:00:00,07:00,
18,2021-01-19,07:00:00,07:00,
19,2021-01-20,07:00:00,07:00,
20,2021-01-21,07:00:00,07:00,
21,2021-01-22,07:00:00,07:00,
22,2021-01-23,07:00:00,07:00,
23,2021-01-24,07:00:00,07:00,
24,2021-01-25,07:00:00,07:00,
25,2021-01-26,07:00:00,07:00,80.1475
26,2021-01-27,07:00:00,07:00,332.776633333333
27,2021-01-28,07:00:00,07:00,73.7475
28,2021-01-29,07:00:00,07:00,119.282638888889
29,2021-01-30,07:00:00,07:00,156.328273809524
30,2021-01-31,07:00:00,07:00,145.800694444444
31,2021-02-01,07:00:00,07:00,
32,2021-02-02,07:00:00,07:00,
33,2021-02-03,07:00:00,07:00,76
34,2021-02-04,07:00:00,07:00,85.2675
35,2021-02-05,07:00:00,07:00,
36,2021-02-06,07:00:00,07:00,
37,2021-02-07,07:00:00,07:00,
38,2021-02-08,07:00:00,07:00,
39,2021-02-09,07:00:00,07:00,
40,2021-02-10,07:00:00,07:00,
41,2021-02-11,07:00:00,07:00,
42,2021-02-12,07:00:00,07:00,
43,2021-02-13,07:00:00,07:00,
44,2021-02-14,07:00:00,07:00,
45,2021-02-15,07:00:00,07:00,
46,2021-02-16,07:00:00,07:00,
47,2021-02-17,07:00:00,07:00,
48,2021-02-18,07:00:00,07:00,115.569444444444
49,2021-02-19,07:00:00,07:00,138.517361111111
50,2021-02-20,07:00:00,07:00,121.147916666667
51,2021-02-21,07:00:00,07:00,92.8533333333334
52,2021-02-22,07:00:00,07:00,83.2275
53,2021-02-23,07:00:00,07:00,
54,2021-02-24,07:00:00,07:00,
55,2021-02-25,07:00:00,07:00,
56,2021-02-26,07:00:00,07:00,
57,2021-02-27,07:00:00,07:00,73.5141666666667
58,2021-02-28,07:00:00,07:00,88.7791666666667
59,2021-03-01,07:00:00,07:00,
60,2021-03-02,07:00:00,07:00,
61,2021-03-03,07:00:00,07:00,109.850694444444
62,2021-03-04,07:00:00,07:00,104.646527777778
63,2021-03-05,07:00:00,07:00,82.6108333333333
64,2021-03-06,07:00:00,07:00,100.796527777778
65,2021-03-07,07:00:00,07:00,83.7266666666667
66,2021-03-08,07:00:00,07:00,95.2208333333333
67,2021-03-09,07:00:00,07:00,48.3883333333333
68,2021-03-10,07:00:00,07:00,42.7016666666667
69,2021-03-11,07:00:00,07:00,54.485
70,2021-03-12,07:00:00,07:00,65.37
71,2021-03-13,07:00:00,07:00,82.2108333333333
72,2021-03-14,07:00:00,07:00,81.0075
73,2021-03-15,07:00:00,07:00,58.6041666666667
74,2021-03-16,07:00:00,07:00,
75,2021-03-17,07:00:00,07:00,
76,2021-03-18,07:00:00,07:00,64.2858333333333
77,2021-03-19,07:00:00,07:00,46.85
78,2021-03-20,07:00:00,07:00,42.9425
79,2021-03-21,07:00:00,07:00,33.9883333333333
80,2021-03-22,07:00:00,07:00,37.69
81,2021-03-23,07:00:00,07:00,62.01
82,2021-03-24,07:00:00,07:00,
83,2021-03-25,07:00:00,07:00,
84,2021-03-26,07:00:00,07:00,82.235
85,2021-03-27,07:00:00,07:00,55.5083333333333
86,2021-03-28,07:00:00,07:00,49.9891666666667
87,2021-03-29,07:00:00,07:00,93.3525
88,2021-03-30,07:00:00,07:00,94.2741666666667
89,2021-03-31,07:00:00,07:00,86.7583333333333
90,2021-04-01,07:00:00,07:00,78.1516666666667
91,2021-04-02,07:00:00,07:00,55.5966666666667
92,2021-04-03,07:00:00,07:00,
93,2021-04-04,07:00:00,07:00,
94,2021-04-05,07:00:00,07:00,
95,2021-04-06,07:00:00,07:00,
96,2021-04-07,07:00:00,07:00,
97,2021-04-08,07:00:00,07:00,53.5333333333333
98,2021-04-09,07:00:00,07:00,46.6108333333333
99,2021-04-10,07:00:00,07:00,70.0425
100,2021-04-11,07:00:00,07:00,107.364583333333
101,2021-04-12,07:00:00,07:00,52.267525
102,2021-04-13,07:00:00,07:00,116.743003333333
103,2021-04-14,07:00:00,07:00,79.477775
104,2021-04-15,07:00:00,07:00,30.4775
105,2021-04-16,07:00:00,07:00,28.0008333333333
106,2021-04-17,07:00:00,07:00,28.4083333333333
107,2021-04-18,07:00:00,07:00,68.2316666666667
108,2021-04-19,07:00:00,07:00,48.5816666666667
109,2021-04-20,07:00:00,07:00,
110,2021-04-21,07:00:00,07:00,
111,2021-04-22,07:00:00,07:00,
112,2021-04-23,07:00:00,07:00,34.6841666666667
113,2021-04-24,07:00:00,07:00,47.1641666666667
114,2021-04-25,07:00:00,07:00,39.3966666666667
115,2021-04-26,07:00:00,07:00,31.605
116,2021-04-27,07:00:00,07:00,37.4975
117,2021-04-28,07:00:00,07:00,44.0983333333333
118,2021-04-29,07:00:00,07:00,27.2383333333333
119,2021-04-30,07:00:00,07:00,81.9483333333333
120,2021-05-01,07:00:00,07:00,63.6783333333333
121,2021-05-02,07:00:00,07:00,43.4791666666667
122,2021-05-03,07:00:00,07:00,28.2633333333333
123,2021-05-04,07:00:00,07:00,35.6441666666667
124,2021-05-05,07:00:00,07:00,25.1141666666667
125,2021-05-06,07:00:00,07:00,53.065
126,2021-05-07,07:00:00,07:00,49.47
127,2021-05-08,07:00:00,07:00,47.6308333333333
128,2021-05-09,07:00:00,07:00,36.215
129,2021-05-10,07:00:00,07:00,56.7191666666667
130,2021-05-11,07:00:00,07:00,49.7466666666667
131,2021-05-12,07:00:00,07:00,47.5666666666667
132,2021-05-13,07:00:00,07:00,39.7375
133,2021-05-14,07:00:00,07:00,34.3925
134,2021-05-15,07:00:00,07:00,35.4166666666667
135,2021-05-16,07:00:00,07:00,46.2758333333333
136,2021-05-17,07:00:00,07:00,26.6325
137,2021-05-18,07:00:00,07:00,20.2208333333333
138,2021-05-19,07:00:00,07:00,37.4175
139,2021-05-20,07:00:00,07:00,35.2108333333333
140,2021-05-21,07:00:00,07:00,39.115
141,2021-05-22,07:00:00,07:00,38.4191666666667
142,2021-05-23,07:00:00,07:00,35.2858333333333
143,2021-05-24,07:00:00,07:00,16.7041666666667
144,2021-05-25,07:00:00,07:00,30.5458333333333
145,2021-05-26,07:00:00,07:00,50.5566666666667
146,2021-05-27,07:00:00,07:00,23.5241666666667
147,2021-05-28,07:00:00,07:00,30.6775
148,2021-05-29,07:00:00,07:00,51.5141666666667
149,2021-05-30,07:00:00,07:00,59.8158333333333
150,2021-05-31,07:00:00,07:00,54.7608333333333
151,2021-06-01,07:00:00,07:00,
152,2021-06-02,07:00:00,07:00,67.8525
153,2021-06-03,07:00:00,07:00,90.21
154,2021-06-04,07:00:00,07:00,
155,2021-06-05,07:00:00,07:00,
156,2021-06-06,07:00:00,07:00,168.426488095238
157,2021-06-07,07:00:00,07:00,77.43
158,2021-06-08,07:00:00,07:00,49.5416666666667
159,2021-06-09,07:00:00,07:00,47.0958333333333
160,2021-06-10,07:00:00,07:00,33.4008333333333
161,2021-06-11,07:00:00,07:00,32.6725
162,2021-06-12,07:00:00,07:00,34.6808333333333
163,2021-06-13,07:00:00,07:00,12.5133333333333
164,2021-06-14,07:00:00,07:00,14.6775
165,2021-06-15,07:00:00,07:00,24.1475
166,2021-06-16,07:00:00,07:00,18.4725
167,2021-06-17,07:00:00,07:00,19.6983333333333
168,2021-06-18,07:00:00,07:00,20.6325
169,2021-06-19,07:00:00,07:00,15.0491666666667
170,2021-06-20,07:00:00,07:00,13.7066666666667
171,2021-06-21,07:00:00,07:00,24.8016666666667
172,2021-06-22,07:00:00,07:00,59.6791666666667
173,2021-06-23,07:00:00,07:00,25.4025
174,2021-06-24,07:00:00,07:00,37.7675
175,2021-06-25,07:00:00,07:00,61.8766666666667
176,2021-06-26,07:00:00,07:00,22.0091666666667
177,2021-06-27,07:00:00,07:00,12.8066666666667
178,2021-06-28,07:00:00,07:00,11.9525
179,2021-06-29,07:00:00,07:00,18.1383333333333
180,2021-06-30,07:00:00,07:00,15.4066666666667
181,2021-07-01,07:00:00,07:00,15.5875
182,2021-07-02,07:00:00,07:00,15.6325
183,2021-07-03,07:00:00,07:00,34.62
184,2021-07-04,07:00:00,07:00,28.5108333333333
185,2021-07-05,07:00:00,07:00,17.8016666666667
186,2021-07-06,07:00:00,07:00,30.1675
187,2021-07-07,07:00:00,07:00,32.1916666666667
188,2021-07-08,07:00:00,07:00,18.325
189,2021-07-09,07:00:00,07:00,
190,2021-07-10,07:00:00,07:00,
191,2021-07-11,07:00:00,07:00,
192,2021-07-12,07:00:00,07:00,
193,2021-07-13,07:00:00,07:00,24.6866666666667
194,2021-07-14,07:00:00,07:00,19.9875
195,2021-07-15,07:00:00,07:00,
196,2021-07-16,07:00:00,07:00,
197,2021-07-17,07:00:00,07:00,172.1232
198,2021-07-18,07:00:00,07:00,31.5016666666667
199,2021-07-19,07:00:00,07:00,78.97
200,2021-07-20,07:00:00,07:00,
201,2021-07-21,07:00:00,07:00,
202,2021-07-22,07:00:00,07:00,
203,2021-07-23,07:00:00,07:00,24.53
204,2021-07-24,07:00:00,07:00,36.6808333333333
205,2021-07-25,07:00:00,07:00,46.515
206,2021-07-26,07:00:00,07:00,
207,2021-07-27,07:00:00,07:00,
208,2021-07-28,07:00:00,07:00,
209,2021-07-29,07:00:00,07:00,58.3725
210,2021-07-30,07:00:00,07:00,60.3841666666667
211,2021-07-31,07:00:00,07:00,58.3708333333333
212,2021-08-01,07:00:00,07:00,12.6766666666667
213,2021-08-02,07:00:00,07:00,32.6608333333333
214,2021-08-03,07:00:00,07:00,43.3675
215,2021-08-04,07:00:00,07:00,77.2775
216,2021-08-05,07:00:00,07:00,72.55
217,2021-08-06,07:00:00,07:00,52.0933333333333
218,2021-08-07,07:00:00,07:00,19.4458333333333
219,2021-08-08,07:00:00,07:00,71.0708333333333
220,2021-08-09,07:00:00,07:00,90.905
221,2021-08-10,07:00:00,07:00,20.9508333333333
222,2021-08-11,07:00:00,07:00,23.8608333333333
223,2021-08-12,07:00:00,07:00,34.8225
224,2021-08-13,07:00:00,07:00,24.3875
225,2021-08-14,07:00:00,07:00,25.0316666666667
226,2021-08-15,07:00:00,07:00,38.5325
227,2021-08-16,07:00:00,07:00,23.4075
228,2021-08-17,07:00:00,07:00,21.3966666666667
229,2021-08-18,07:00:00,07:00,18.8841666666667
230,2021-08-19,07:00:00,07:00,17.9458333333333
231,2021-08-20,07:00:00,07:00,22.95
232,2021-08-21,07:00:00,07:00,27.5625
233,2021-08-22,07:00:00,07:00,36.5566666666667
234,2021-08-23,07:00:00,07:00,50.0341666666667
